comment,category
"Bueno, Eric, te dije que todos tenemos una cosita cremosa en nuestro interior de donde surgen todos los sentimientos de compasión y felicidad. ¿Tu padre nunca te lo dijo?",No sarcástico
Se te acabó el azúcar,No sarcástico
En tu casa,No sarcástico
"Ajá, porque necesitas ayuda con el bebé y no quieres llamar a Lana y vienes a pedirnos ayuda.",No sarcástico
"Espera, ¿cuánto pagaste por estas joyas?",No sarcástico
"¿No lo ves? Ya que estamos, deberíamos reemplazar la pelota por un globo. Y quien lo atrape podrá correr mientras el resto de los jugadores se abrazan.",Sarcástico
"¿Y de dónde viene el término casa segura, no? Deberían llamarse apartamentos sin nombre. Pero aquí estoy a salvo, ¿no?",No sarcástico
¿Cómo podrían ayudar los sujetadores y sombreros de papel?,No sarcástico
"¡Tu maldita madre, me disparaste!",No sarcástico
Todavía tengo un arma,Sarcástico
"Sí, le dije, lo estuve mirando todo el día.",Sarcástico
Y aquí están las malditas animadoras de Denver.,No sarcástico
Mi salchicha está dura como una flecha.,Sarcástico
¿Y vosotros estabais conspirando?,No sarcástico
"¿Cómo, dónde está?",No sarcástico
"Ya expresé mi preocupación, sí. Te advierto que ser tan sarcástico es peligroso.",Sarcástico
"No, USUARIO. ¡De ningún modo!",Sarcástico
"Bueno, te lo explicaré todo.",No sarcástico
"No, la CIA les puso maquillaje para que parecieran muy realistas.",No sarcástico
¿De dónde? ¿Del coño de tu madre?,Sarcástico
"Mierda, es un maldito multicampeón.",Sarcástico
"Señores, creo que confunden mi hospitalidad con debilidad. El precio es el precio, si quieren negociar pueden hacerlo con mis socios.",No sarcástico
¿Eres de Pakistán?,No sarcástico
"Antes de comenzar esta reunión de padres y maestros, ¿alguien tiene algún asunto pendiente?",No sarcástico
Pareciera como si quisiera ocultarlo.,No sarcástico
"Bien, aquí vamos. Observa cómo van a patear. Las jugadas especiales son las más importantes.",No sarcástico
"Bonita pajarita, Stan",Sarcástico
"Sí, no, no. Bien hecho por ti.",Sarcástico
"Bueno, yo lo llamaría un éxito relativo.",No sarcástico
¿No deberías qué?,No sarcástico
¿Por qué has hecho esto?,No sarcástico
"Bueno, imbéciles. Gracias por ayudarme a conseguir el disco. Los rusos me van a dar mucho dinero por él.",No sarcástico
"Detente, quédate quieto, detente.",No sarcástico
¿Qué?,No sarcástico
"Ella es la mejor, es muy inteligente, se aprovecha de mis precios bajos.",No sarcástico
"Porque conoces a las personas en cuestión. Oye, ¿te importa?",No sarcástico
"Bueno, está bien.",No sarcástico
"Sí, Conway Stern. ¿Tienes preguntas?",No sarcástico
"Oye, oye, tienes que escuchar, no sé qué está pasando aquí, pero tienes que entregarme a la chica.",No sarcástico
"Vamos, entonces ustedes, bastardos, son unos violadores de cabras sin ningún comodín.",No sarcástico
"Para empezar, me disparó dos veces.",No sarcástico
"Por cierto, no en mi casa. ¿Qué haces ahí? ¿Y quién es?",No sarcástico
"Ah, okey.",No sarcástico
"Está bien, Conway, ganas este salto.",No sarcástico
Te escuché pero no me moveré hasta que te lo pongas.,No sarcástico
"Bueno, tengo una idea aún mejor. Tomemos los fondos de investigación para el cáncer y las enfermedades genéticas y hagamos anuncios que digan: ""Oigan, espectadores, tal vez el sarcasmo no sea tan bueno para el cerebro"".",Sarcástico
"""Quien salió de mi tienda y dijo: ""Me encantaría follar con una mujer USUARIA"". Una mujer USUARIA folladora""",No sarcástico
Este juego es estúpido. No tengo idea de cómo salir al campo y ser amable con el otro equipo.,No sarcástico
"Bueno, bueno",No sarcástico
Hablemos de beber tres litros de cerveza negra mexicana antes de conducir con tu hija y un artista dentro,No sarcástico
"Puede ser. Necesitaré collares de oro, pulseras de diamantes y esmeraldas.",No sarcástico
"Butters, eres malo en todos los deportes.",Sarcástico
Eso es,No sarcástico
Voy a romper el cristal,No sarcástico
"Oye, sal del campo, ¿vale?",No sarcástico
"¿A quién le importa? No, en serio estoy preguntando.",No sarcástico
"Te invito a que nos lamas las pelotas, señor.",No sarcástico
Me cago en la leche,No sarcástico
Contigo es difícil distinguir,No sarcástico
"No, espera, el oso está aquí, o estaba. Te juro que... ¿Osito?",No sarcástico
"¡Sí, sí, guau!",No sarcástico
"Dios mío, mi abuelo pagó seis mil dólares por algo que no tiene casi ningún valor. ¿Cómo, cómo puede pasar algo así?",No sarcástico
Ni siquiera hacen un burrito de seis capas.,No sarcástico
¡Boom! ¿Viste ese estallido?,No sarcástico
"Sí, es mucho pedir.",No sarcástico
¿Estas jugando al strip poker?,No sarcástico
"Detrás de la barra, deja de gritar.",No sarcástico
Sí,No sarcástico
No entiendo cómo alguien puede jugar a este juego honestamente.,No sarcástico
"No, no tengo ese que tienes dentro de ti, Butters.",No sarcástico
Solo para las niñeras,No sarcástico
"Es una belleza, papá, gracias. Ah, mañana se toman las fotos del colegio, también puedes usarla.",No sarcástico
Robó de todo y se estableció en Europa como traficante de armas.,No sarcástico
"Joder, no te voy a hacer una mamada",No sarcástico
"Oh, ¿para mí? Oh, Dios mío, ahí está, el viejo Patches con su cara feliz. Gracias Villy, significa mucho para mí. Villy, esa corbata que llevas, no sé de dónde la sacaste, pero es súper gay.",No sarcástico
Soy notario,No sarcástico
DE ACUERDO,No sarcástico
"No, están enojados con las mujeres asiáticas.",No sarcástico
Ocurren en el baño.,No sarcástico
¡Qué buen chico!,No sarcástico
"Oh, por un momento pensé que eras Lana.",No sarcástico
"cuando el otro equipo intente acercarse, tendremos que buscar en lo más profundo, llegar a nuestro centro cremoso. Es el lugar dentro de nosotros que contiene todo el amor y la felicidad que necesitamos usar para ser los jugadores más amables y compasivos que el mundo haya visto jamás. Y ellos sabrán que no nos rendiremos tan fácilmente.",No sarcástico
...Es un dolor de cabeza,No sarcástico
"Oh, lo siento, lo siento. Todos tenemos un relleno cremoso, Eric. Y muchos de nosotros tenemos tantos sentimientos que se nos escapan de vez en cuando. Muchas veces cuando estoy durmiendo, y especialmente si estoy teniendo sueños hermosos que me hacen sentir bien. A veces me despierto y cuando lo hago, me doy cuenta de que mi cremosidad se ha escapado. Oh, Dios, eso fue mucho esta vez. Pero siempre me aseguro de guardarlo en caso de que se me acaben los sentimientos felices.",No sarcástico
"Bueno, no te habría visto tomar veinte tragos y no habría necesitado sacudirte.",No sarcástico
"Son diamantes auténticos, ¿verdad?",No sarcástico
"Sí, puedes probarlo.",No sarcástico
"¡Vuelve a Canadá, Ben Jhonsson!",No sarcástico
Es una buena idea,No sarcástico
"""¿Por qué no gritan a quienes funden el oro? El proverbio hindú dice: ""Quien lo fundió, lo generó"".",No sarcástico
Mira que generoso,Sarcástico
"¿Y cuándo? ¿Por qué no quieres hablar de ello, Lana?",No sarcástico
"No, mis colegas lo inventaron para que Slater me llevara con usted y usted me trajera aquí.",No sarcástico
"Oro de catorce quilates, o catorce dólares el gramo en el mercado, tenemos unos cuatro gramos. Esto es una pérdida de tiempo. Puedo ofrecerle un burrito de seis capas por esto.",No sarcástico
"Espera, Vivian. Te conectaremos con un representante que te saludará. Gracias por comprar con nosotros y felicitaciones por estos aretes de imitación de catorce quilates. A ese precio, fueron prácticamente una ganga.",No sarcástico
"Iba a hacerlo, pero mujer, no soy un monstruo. Tú has sido madre.",No sarcástico
"Ojalá pudiera, pero no, no. Estaba haciendo un estudio de mercado para el TB-800, también conocido como el osito de peluche cibernético.",No sarcástico
"Espera, espera",No sarcástico
Quería toda tu atención.,No sarcástico
"Te apuñalaré por la espalda, ¿no harás nada estúpido en venganza cuando abra la puerta?",No sarcástico
"Bien hecho, niño.",No sarcástico
"¿Shelly tiene trece años? Claro, claro, por Dios. Villy, ¿te he dicho alguna vez que tengo un pastor escocés llamado Paties?",No sarcástico
Esto lo tendrá que resolver el grupo fuera del campo.,No sarcástico
¿Qué estás haciendo?,No sarcástico
"Bienvenidos, bienvenidos a la tienda de Despetto.",No sarcástico
¿Que dijo?,No sarcástico
Después de literalmente apuñalarme por la espalda,No sarcástico
"Hola, Butters, ¿tienes un minuto?",No sarcástico
Uno de los dos debería,No sarcástico
"Su identificación, coronel",No sarcástico
Sí,No sarcástico
¿Sólo bourbon?,No sarcástico
"Tómalo, los actos se estudian.",No sarcástico
No hay collar de oro con diamantes,No sarcástico
Nueve dólares,No sarcástico
"Por supuesto, el que fuma al lado de la chica.",Sarcástico
¡Mierda!,No sarcástico
Porque te voy a volar la cabeza en las escaleras de descarga,No sarcástico
Y en la escuela no hacemos las obras porque son peligrosas.,No sarcástico
¿Qué no importa?,No sarcástico
Le apuntaron con el arma.,No sarcástico
"Oh, no, porque ya bastante tuviste con lanzarte al acero, luego al vidrio o",No sarcástico
¡Oh sí!,No sarcástico
Quédate callado y espera mi señal.,No sarcástico
"Vuelvo mañana por la noche, ya verás como me llamas antes.",No sarcástico
¿No te importa lo que hago con tu servidor?,No sarcástico
No he estado en los cojines del sofá.,No sarcástico
"Randy, te ha pasado algo. ¿No puedes dejar de ser sarcástico?",No sarcástico
¿Cómo?,No sarcástico
¿Por qué me golpeas?,No sarcástico
"Parece que está buscando sus llaves, Dan.",No sarcástico
"Arquero, cierra la boca. Todo va a salir bien.",No sarcástico
"Fue un regalo de mi abuelo, sí, y le costó mucho dinero.",No sarcástico
Coronel,No sarcástico
No,No sarcástico
"No está mal, te doy un siete.",No sarcástico
Arquero,No sarcástico
Más desde la terraza,No sarcástico
Oooo... mi nombre es Vivian,No sarcástico
Landó,No sarcástico
"Lo sabía, en lo profundo de mi corazón, sabía que era uno de los buenos.",Sarcástico
"Muy heroico, lo sé.",No sarcástico
"Durante siglos, los alquimistas han intentado encontrar la fórmula para crear oro. Quien pudiera crearla se volvería rico. Y ahora esta ecuación química está ante tus ojos.",No sarcástico
Esperaba que ya hubiera pasado. Pensé que iban a renovar este lugar.,No sarcástico
"Este tipo está intentando estafarnos, ¿podemos ir a otro lugar?",No sarcástico
"Oye, no eres mi jefe.",No sarcástico
"Tírate al suelo y mira, ¿qué estás haciendo? Ah, solo estaba haciendo un simulacro. Te estaba poniendo a prueba, buen trabajo.",No sarcástico
"Cuando cerramos, ese tipo",No sarcástico
"Ah, vale, aquí tienes.",No sarcástico
"Sí, eso tiene mucho sentido, porque desde su ascenso en 2006 ni siquiera tiene licencia de conducir.",No sarcástico
"""Y estarás sentado en tu habitación pensando en lo que acabas de hacer. El hecho de que la gente quiera hacer que el fútbol sea más seguro cambiando una regla no significa que puedas pensar: ""Oh, ¿por qué no bebemos nuestro propio esperma?"". Un sarcasmo como ese es homofóbico, chovinista y completamente inmaduro. ¿Alguna pregunta?""",No sarcástico
Generalmente hago improvisaciones.,No sarcástico
"¡Vamos, date una palmadita en la espalda!",Sarcástico
¡Qué conversación más tonta!,No sarcástico
"Vamos, ábrelo, Stan.",No sarcástico
"Bueno, conmigo está el presidente de Brasil y su gran esposa.",No sarcástico
"No, no, el sarcasmo no tiene nada que ver, simplemente estoy disfrutando demasiado del sarcasmo y tengo que encontrar excusas.",Sarcástico
Una misión importante para ISIS que podemos hacer. Enfestar de un chupete para hacer carambola,No sarcástico
"Hola, Craig, ¿cómo estás? Token, apuesto a que tu madre tiene algunas joyas que no le importaría perder. Cariño, te ofreceré algo por los diamantes falsos que llevas en los pendientes. Tal vez pueda darte... ¡Qué carajo, Butters!",No sarcástico
Sí,No sarcástico
¿Qué carajo está pasando aquí?,No sarcástico
Se está preparando un pastel familiar.,Sarcástico
¿La ibas a convertir en un robot?,No sarcástico
Horacio Kane,No sarcástico
"Seguramente sí, en algún momento, pero",No sarcástico
Mi hijo está jugando a ese juego ahora. Me alegra el corazón ver cuánto te preocupas por su seguridad.,Sarcástico
"Bueno, lo estás haciendo mal.",No sarcástico
"Cuarenta y dos, trece rojo, pensamientos felices, felicidad para todos.",No sarcástico
Aunque disfrutar no es literalmente,No sarcástico
"¿Podríamos dejarlo ya, por favor?",No sarcástico
"A ver USUARIO, no sé qué dice la gente por ahí, pero por más barbaridades que hayas oído que he hecho, te falta contexto, porque prácticamente toda mi vida, prácticamente hasta ahora, he sido bastante cabrón. Pero eso era antes, antes de tener una hija, una hija a la que has amenazado...",No sarcástico
"Como comisionado de la NFL, me emociona ver que la juventud de nuestro país adopte el sarcasmo sobre el fútbol tradicional. Pero ¿por qué detenerse allí? Ya que el fútbol es para bárbaros, nosotros también deberíamos cambiar. Por favor, denle la bienvenida al nuevo entrenador de los Denver Broncos, Randy Marsh. ¡Felicitaciones Marsh, buen trabajo!",Sarcástico
"Creo que sufro una conmoción cerebral. El infierno no conoce la ira, ¿eh?",No sarcástico
"Oh por favor, sabemos que es Buenos Aires",No sarcástico
"Entonces, fuimos a la India, que es hermosa, creo, nunca había estado allí. Y aprendimos que quien lo derritió, lo negó, lo rimó y en realidad lo proporcionó.",No sarcástico
"¿Qué haces, Ley?",No sarcástico
Que los mastiques primero y los escupas en la boca,No sarcástico
"Oh, lo siento, lo que sea.",No sarcástico
"Butters, tú entiendes este juego mejor que nadie.",No sarcástico
Voy a pedir refuerzos,No sarcástico
Son unos cabrones sucios y traidores. ¿Quieren dejarme fuera? Me robaron mi fórmula y luego intentaron engañarme. ¡Butters!,No sarcástico
"Está claro que cree que tiene un plan, así que ¡vamos, déjenle hablar!",Sarcástico
Sí. ¿Puedo empezar? ¿Te importa si empiezo? Estás más loco que una cabra.,No sarcástico
"Idiotas, hijos de puta, conmigo está el presidente de Brasil y su esposa. Y miren, aquí, sucio, sucio. Todas, todas las armas en el suelo.",No sarcástico
Diviértete y saluda a tu vida animal.,No sarcástico
"Joder, ¿qué hacemos?",No sarcástico
¿Que esta haciendo?,No sarcástico
"Sí, soy igualita a Cristi con un toque de Claudia.",No sarcástico
Todavía mentiste cuando me dijiste que no ibas a beber.,No sarcástico
"¡Cielos, sí! Me encantaría ser el entrenador del equipo de sarcasmo.",Sarcástico
"Bueno, ya lo veo, pero el espía tiene un arma. Creo que está robando al señor Archer.",No sarcástico
"No te preocupes abuelo, yo me encargaré de esto.",No sarcástico
"Entonces, ¿qué está pasando allí?",No sarcástico
Están tratando de estafarme con su negocio paralelo.,No sarcástico
"Chicos, oigan, olvídense del día libre. Tenemos que practicar mañana.",No sarcástico
"Sí, no queremos que los niños se lastimen jugando al fútbol, pero creo que tengo una forma de mejorarlo aún más. ¿Por qué los jugadores no usan sujetadores?",Sarcástico
No eran solidos,No sarcástico
Acabo de hacerlo. Veamos dónde está y qué información contiene.,No sarcástico
¿Qué?,No sarcástico
No tengo el urdu tan actualizado como pensaba,No sarcástico
"Lo siento, mi papá se toma muy en serio el sarcasmo profesional.",No sarcástico
Sí,No sarcástico
Mirar,No sarcástico
¿Qué? ¿Por qué?,No sarcástico
¿Qué es el sarcasmo y qué es el esperma?,No sarcástico
Y aparentemente le va muy bien.,No sarcástico
"Porque vaya idiota, ¿no?",No sarcástico
¿Qué Randy?,No sarcástico
Mejor me voy,No sarcástico
No nos estamos metiendo contigo. Se están metiendo con el abuelo de Stan.,No sarcástico
Coño,No sarcástico
"Sí, a su edad ni siquiera sé por qué se molesta.",No sarcástico
"¿Ves eso, Villy? Es una esmeralda en oro de catorce quilates. ¿Crees que a tu hermana pequeña le gustaría algo así?",No sarcástico
"Sí, es increíble estar en tu programa.",No sarcástico
¿Tienes el album?,No sarcástico
No,No sarcástico
"¿Y por qué nosotros? ¿No es mejor que se quede en casa, en la CIA?",No sarcástico
¿Qué?,No sarcástico
Y con eso los Browns están listos para golpear la pelota contra los Broncos.,No sarcástico
¿Que dijo?,No sarcástico
Y no le hagas daño,No sarcástico
"Sí, supongo que sí. Bueno, abuelo, quería darte un regalo.",No sarcástico
"Pero, escucha, ¿son necesarias las armas? Te lo pregunto con total seriedad.",Sarcástico
"Sí, idiota y además varias balas.",No sarcástico
"Claro, le hizo algo a mi cerebro y ahora no puedo dejar de ser sarcástico.",Sarcástico
Sí,No sarcástico
"Genial, no lo volveré a usar",No sarcástico
"El servidor está alojado en una bóveda reforzada con acceso mediante tarjeta y escáner de retina, en el último piso de la sede del servicio de inteligencia, que está fuertemente custodiada en todo momento por fuerzas especiales con órdenes de disparar a matar a cualquier persona no autorizada.",No sarcástico
"Pam, la niña",No sarcástico
Pero supongo que habrá pedido refuerzos.,No sarcástico
¿Y Woodhouse?,No sarcástico
¡Libra esterlina!,No sarcástico
"Stan, Stan",No sarcástico
Pasatelo bien y espero que no sufras violencia homofobica,No sarcástico
"¿Crees que lo hay, tonto?",No sarcástico
"No sé, nunca lo he pensado.",No sarcástico
Porque no quieres que beba licor,Sarcástico
Eres un monstruo,No sarcástico
"¡Oh, mira eso! Una corbata de hilo. ¿No es hermosa, Stan?",No sarcástico
Me duelen los brazos,No sarcástico
No tengo papá,No sarcástico
"¿Quién eres tú? Oye, espera, no me acuerdo.",No sarcástico
"Sí, sí, estamos hartos de que nuestros niños se peguen en el campo y se lastimen. Hagamos del sarcasmo el deporte oficial en todas las escuelas",Sarcástico
"A ver, te lo voy a explicar.",No sarcástico
Realmente en lo bueno,No sarcástico
"No, USUARIO. Mira, si tengo que parar, nos van a matar a todos, así que",No sarcástico
"Cierra la boca, eres un idiota.",No sarcástico
"Uno, eran botellitas y dos, me refiero a AJ. ¿Quién la va a cuidar si nos pasa algo a los dos?",No sarcástico
"Lana, tranquila, no beberé en tu ausencia y me tomo esto muy en serio.",No sarcástico
"Lo siento, Sr. Marsh, pero parece que hay un daño permanente.",No sarcástico
"No, señor Archer, de ninguna manera, no hasta que me lleve a la sede de ISIS para poder acceder a la computadora central.",No sarcástico
¡Qué buen disparo! Recuérdalo en el entrenamiento de mañana.,No sarcástico
Mentía. es mi verdadero nombre,No sarcástico
"Bueno, no vamos a poner un par de novatos inexpertos en la alineación titular...",No sarcástico
"Vale, pero ¿los lleva? ¿Lleva pipa?",No sarcástico
"Randy, ¿estás pensando en ello?",No sarcástico
"Randy, ¿no vas a reunirte con tu familia para cenar?",No sarcástico
"¿Y por qué, por qué lo tienes?",No sarcástico
"Cyril, lleva al bebé a un lugar seguro.",No sarcástico
¿Cómo es que aún tienes dos manos? ¡Hijo de puta!,Sarcástico
Sólo Slater,No sarcástico
"Por favor, es un esqueleto de bebé.",No sarcástico
Si tan solo estuviera allí,No sarcástico
"Ese niño quiere provocarnos, dice cosas feas para hacernos enojar.",No sarcástico
Pero cuando veas que no. ¡Cállate! Este es el número del centro CIA de un empleado que vendrá a avisarme.,No sarcástico
"USUARIO, eres un idiota",No sarcástico
Esto es bueno. Es bueno que hayan venido en gran número para demostrar su apoyo a Sarcasmobol.,Sarcástico
¿Es esa la ecuación para crear oro?,No sarcástico
¿Un burrito de seis capas?,No sarcástico
"Ya ves, quiero evitar a los intermediarios. Quiero compraros vuestras joyas directamente a vosotros así que... ¡Hijos de puta!",No sarcástico
Tienes razón. Quizá así te liberes de tu energía negativa.,No sarcástico
"Bueno salta, tengo un paracaídas",No sarcástico
"Sí, necesitamos más de tu jugo, Butters.",No sarcástico
"Vamos, ¿no podemos tener una noche de póquer sin violencia?",No sarcástico
"No, es solo que hace mucho calor aquí.",No sarcástico
"Papá, ¿es necesario usar sujetador?",No sarcástico
"Son tiempos nuevos, una nueva era de la ciencia que sólo unos pocos de nosotros entendemos.",No sarcástico
"Sí, de verdad que sí. Ayúdame, Sharon, ayúdame.",Sarcástico
tenía,No sarcástico
"Sí, Stan, eso es lo que la gente quiere. No te preocupes, te ves genial.",Sarcástico
"Bueno, ocho dólares.",No sarcástico
"Arquero, hablo en serio.",No sarcástico
"¡Vamos, USUARIO, vamos!",Sarcástico
Iba a decir que eran dos de dos chicos.,No sarcástico
Y aún no lo he visto hoy.,No sarcástico
¿Qué? Eso le costó a mi abuelo seis mil dólares. Los diamantes son auténticos.,No sarcástico
"Soy Streling Archer, él es Baruk Ascani",No sarcástico
"Amigo, él es súper gay",No sarcástico
Pero,No sarcástico
Chúpatelo,No sarcástico
Sí o en un motel en un baño por...,Sarcástico
"""Así es, los tipos con carteles de 'compramos oro' compran sus joyas basura. Sumamos los canales de venta y los dividimos por las mentes viejas, tenemos oro"".",No sarcástico
Y por supuesto voy a guardar mi pistola en la caja fuerte hasta que termine el juego.,No sarcástico
"Sube al coche, Stan. Nos vamos a casa.",No sarcástico
"Eso no es excusa... Espera, ¿esa es tu excusa?",No sarcástico
"Espera, ¿qué hago? El primer lugar donde buscarán será el tejado.",No sarcástico
Bienvenidos al partido inaugural de la Liga Nacional de Sarcasmo. Hoy tendremos el enfrentamiento entre los Denver Broncos y los Oakland Riders.,No sarcástico
¿No ves lo que este deporte le hizo a su padre? ¿Quieres terminar como él?,No sarcástico
¿VERDADERO?,No sarcástico
Esta vez han conseguido vencer al pobre Lando. Estoy perdido.,No sarcástico
"El jugo cremoso de Butters contiene todo lo que necesita un deportista: compromiso, compasión y camaradería. Y además viene en un envase de un cuarto de galón.",No sarcástico
"No, no, no, me cabrea.",No sarcástico
"Es cierto, Butters.",No sarcástico
¿Por qué...? No importa,No sarcástico
"Sí, por supuesto, y más después de lo de Malpinas.",Sarcástico
Protesto contra el término canguro porque claramente no soy un bebé.,No sarcástico
"Esos tipos, ¡qué idiotas! ¿No?",No sarcástico
"Gracias, USUARIO",No sarcástico
"Corten, perdón, aquí voy de nuevo. Estoy tratando de decir que deberíamos tener diez ligas de sarcasmo para que todos puedan jugar. ¡Oh, mierda!",Sarcástico
"Sí, el otro equipo tenía una línea delantera tan ofensiva que me asustó mucho.",Sarcástico
¿Practicar un lunes? ¡Justo lo que quería hacer!,Sarcástico
Espero que no haya sorpresas,No sarcástico
¿Sabes qué? Tengo un paciente de USER de cincuenta años esperándome y que ni siquiera recuerda a su familia. Olvidémonos de él y centrémonos en los supuestos efectos del sarcasmo en el cerebro.,Sarcástico
Quiero decir que esa es la única puerta.,No sarcástico
"Sí, hola. ¿Un USUARIO negro?",No sarcástico
"Oh, USUARIO, está sucediendo",No sarcástico
Se trata de un archivo informático con la verdadera identidad de todos los agentes de la CIA que operan en el centro de Sudamérica. Argentina lo utiliza para presionar y amenazar con decírselo a los rusos.,No sarcástico
"Entonces, ¿qué estás haciendo aquí para empezar?",No sarcástico
"Oh sí, esa es buena.",Sarcástico
Bueno,No sarcástico
No te metas conmigo,No sarcástico
No podemos,No sarcástico
"USUARIO, estábamos allí cuando fui a buscar hielo. Vamos al laboratorio de ese monstruo.",No sarcástico
"No, lo siento, no hay investigaciones que determinen los efectos del sarcasmo en el cerebro.",No sarcástico
"Genial, vamos, ahora ingresa la secuencia de datos...",No sarcástico
"Por supuesto, USUARIO",No sarcástico
"Algún día te gustarán, te gustarán mucho. Ella todavía es una bebé.",No sarcástico
"Estuvo bien, Payton, pero hay margen de mejora.",No sarcástico
Todo tiene su lógica,No sarcástico
"Bueno ahora que lo mencionas, parecía un poco nervioso.",No sarcástico
¿No estamos del mismo lado?,No sarcástico
"Por supuesto que es un cyborg, seguramente la clave estaba...",No sarcástico
"Ah, bueno, ya lo descubrieron. La inteligencia argentina lo persigue y hay que sacarlo de ahí, carajo.",No sarcástico
¿Y qué haces tú en la ventana?,No sarcástico
Esta corbata cuesta seis mil dólares.,No sarcástico
Esperé por...,No sarcástico
¿Qué es eso?,No sarcástico
¿Entonces?,No sarcástico
"Amaba a ese perro, siempre me hacía muy feliz. Cuando murió no quería estar muy triste, porque pensaba que siempre recordaría su cara feliz. No recuerdo cómo era su cara, USER.",Sarcástico
La Virgen. ¿No descansará hasta que todos estemos esclavizados por SkyNet?,No sarcástico
"Sí, pero no puedo ser capitán. Soy malo en todo.",No sarcástico
