comment,category
authorities: missing plates and glasses found filthy but safe in roommate's room,1
study finds majority of non-shark-related fears completely unjustified,1
nonindigenous larry  crosses state lines,1
eerie sci-fi short explores quest to feel 'connected' with a surprising star,0
lonesome alito declares marriage only between a man and the sea,1
budget chief raises possibility of trump agreeing to obamacare subsidy deal,0
tyson foods executives assure critics their chickens physically incapable of walking even if they had room,1
greyhound now charging customers $15 fee to vomit in aisle,1
trump says gulf states will pay for syrian safe zones. that's not the issue.,0
meet the young people trying to make sure detroit's rebirth works for everybody,0
house republicans are trying to tell the senate what to do with its filibuster,0
area man does most of his traveling by gurney,1
ratings low for npr morning zoo crew,1
employer totally botches job interview,1
eva longoria tans self out of visible spectrum,1
yahoo back on top after purchasing millions of 13-year-old girls' blogs,1
majority of office's supplies used to apply for different job,1
america's election cycle is so scary that haunted houses are getting political,0
deceased souls backed up at river styx ferry crossing during underworld transit strike,1
bianchi introduces new bike for blocking commuters on subway during rush hour,1
here's your 10-piece winter capsule wardrobe checklist,0
croatian prime minister currently stuck under pile of turnips,1
"singapore airlines flight catches fire, no casualties",0
the real march madness: slashing student aid,0
coworker insists on describing entire plot of old spice commercial,1
senate subcommittee on energy and water development more like a family,1
sen. dick lugar placed on congressional disabled list with strained hamstring,1
wall street executive telling friend how amazing it is to see clinton live,1
new york police fatally shoot unarmed black man on brooklyn street,0
congress reassures nervous zuckerberg they won't actually do anything about this,1
t-shirt machine gun to change the face of promotional warfare,1
black guy doesn't talk about all the times he didn't get discriminated against,1
long john silver's customer finds deep-fried poseidon head in value meal,1
"new study finds staring out from balcony with best friends strongest indicator that this your city, your time",1
studio admits entire israeli-palestinian conflict just marketing campaign for 'you don't mess with the zohan' that got out of hand,1
clinton ominously tells iowan supporters to mark front doors with campaign logo before sundown,1
"their stories, our stories: looking toward holocaust remembrance day",0
trump shaping general election strategy with team of most trusted erratic impulses,1
"eric trump scolds father that he mustn't inquire about the businesses, for he's sworn not to tell",1
more realistic meat substitute made from soy raised in brutally cruel conditions,1
u.s. urges bin laden to form nation it can attack,1
13 ghastly money mistakes that could come back to haunt you,0
yo-yo ma injured during practice,1
lindsey graham's leaked voicemails are very revealing,0
catholic couple embraces 'who am i to judge',0
the atheist and the nun,0
god loses tip of finger in black hole accident,1
magazine editor undergoes sleek new redesign,1
"christmas, grief, and moving forward after an alzheimer's diagnosis",0
new york attorney general conducting 'inquiry' into trump foundation,0
'family' pundit makes bizarre and offensive link between robin williams' death and 'ex-gay' therapy,0
montana gop candidate owns stake in company accused of paying off isis,0
'straight outta compton' hits top of the box office on opening weekend,0
grown man enjoys duping children,1
suri cruise somehow already 11,1
elderly woman applying makeup most heartbreaking thing on earth,1
man planning to rub up against strangers wondering where train is already,1
widower finds pic of wife in wedding dress he never got to see her wear,0
"study: only 40% of mice have little welcome mat, doorway leading to tiny home inside wall",1
supreme court makes slip-up in death penalty case,0
trump's moment of truth is coming,0
just area man's luck,1
a nutritionist's top menu picks from popular american chain restaurants,0
who's to blame for your so-called career?  surprise!,0
man has mosquito on the run,1
mortified tampax ceo bursts into tears and runs out of boardroom after tampon falls out of briefcase,1
kelly clarkson covered 'give me one reason' because she's the best,0
taco bell employee somehow dressed down by manager,1
paul ryan halts push to bring back earmarks,0
last words: alyssa edwards reflects on 'rupaul's all stars drag race',0
nobody in ukraine notices absence of government,1
sunday roundup,0
looking for love and acceptance: dating while trans in america,0
military-industrial complex recalls coming together in aftermath of 9/11,1
your compliments are gross and so are you,0
"bush vows to discover, legalize aliens on american, martian soil",1
college student still managing to look like asshole in picture of village he helped build,1
"'this women's strike won't accomplish anything,' reports man who will boycott upcoming 'avengers' movie",1
heartbreaking rubio campaign email just asks supporters to send something to make him smile,1
house conservatives are trying to kill the lame-duck session,0
there's no way james comey said what trump claims he did,0
artist always carries around sketchbook in case he feels like making someone uncomfortable,1
friends can't stand couple's public displays of hostility,1
monopoly releases scrabble-themed edition,1
man bragging about how infrequently he receives dental care,1
france's far-right national front win big in regional elections,0
10 instagram accounts to follow to get you in the holiday spirit,0
mild sexual harassment ignored to save the hassle,1
haunted tape dispenser unsure how to demonstrate hauntedness,1
man attends 25-year nursery school reunion,1
bisexual: the new 'it' word,0
workplace shooting planned on company time,1
local band cleverly alters product logo,1
arby's ceo arrested with trunk full of stolen horsey sauce,1
seaworld's new ad is completely full of it,0
i just purged 80 percent of my closet. why do i feel so guilty?,0
drug addict looking for more enabling girlfriend,1
woman who claims book changed her life has not changed,1
bunch of hick nobodies sue for toxic-waste exposure,1
on not sweating the small stuff,0
deadly midair collision reported in maryland,0
"texas officials really, really want you to know sandra bland had marijuana in her system",0
friday talking points -- mcconnell for sale!,0
"msnbc host: trump's rallies aren't fun, they're fascist",0
manufacturers struggle to turn data into insight,0
pope francis asks congregation if it's okay if they do a low-key easter this year,1
pence passing time during trump's speech by mentally baptizing senators,1
"kushner: 'i did not collude, but i pretty much have to say that, right?'",1
researchers quietly chuckling at placebo group,1
football team gives cheerleader with cancer a colorful surprise,0
conceptual genius goes as self for halloween,1
john mcenroe thinks he could beat serena williams,0
actual soccer team loses game 46-0,0
data-entry clerk reapplies carmex at 17-minute intervals,1
the empty calories of fossil fuels,0
study: red meat takes years off of cow's life,1
dad way scarier when controlling temper,1
couple takes first steps toward divorce,1
area telemarketer awash in sea of human misery,1
demolishing the 7 myths propping up fossil fuels,0
supercuts ceo apologizes for number of customers scalped every month,1
new clinton memoir: 'we all made mistakes but you made most of them',1
nation's deans meet to discuss problem of college girls going wild,1
one of the planet's most powerful forces for change? an adolescent girl,0
a safe birth for imelda,0
video shows the heartbreak of loving someone with alzheimer's,0
why trevor noah thinks hillary clinton will never connect with people,0
where in the world is the best place to be in may?,0
robert pattinson looking forward to taking on more serious vampire roles after conclusion of 'twilight' films,1
scott pruitt orders epa employees to stay in office over weekend while it's being fumigated,1
government shuts down as congress fails to reach spending agreement,0
"'i look forward to ending my life,' says assisted suicide advocate before being shot out of cannon at brick wall",1
woman knew ever since age 40 she didn't want children,1
ivana trump calls ex-husband to ask him what he did to her beautiful baby boy,1
"'i'm not really looking to date right now,' says man, as if he not at mercy of love's powerful, mysterious ways",1
autopsy reveals subject was still alive when autopsy began,1
heroic broken sewage pipe floods congress with human waste,1
alpha-bits now available in serif font,1
"convict sentenced to generating $80,000 to $100,000 in profits for private prison",1
police near st. louis quash peaceful protest by declaring it an unlawful assembly,0
hotshot product talking big game about being good for consumer,1
the myth of the ethical shopper,0
guy just trying on shirt right in middle of store,1
"report: distracted driving results in more than 5,000 unfinished texts each year",1
woman who admits to having watched golden globes thinks jodie foster embarrassed herself,1
sherpa can already tell you're not going to make it,1
half of black americans say police have treated them unfairly,0
the black friday and cyber monday travel deals to book asap,0
"un/opcw report blames syria government, islamic state for chemical attacks",0
charlize theron hired to ride struggling cleveland light rail system monday through friday,1
"earth safe, but for how long?",1
first chapter in history of sino-american war of 2011 already written,1
carly fiorina promises to fight for whoever everyday americans are,1
agents of change: 5 inspiring men worthy of your attention right now,0
"life on the lake: ""the encounter""",0
couple sneaks away from party for a little arguing,1
here's the candidate who could help bernie sanders' dreams come true,0
'the voice' contestant records 'love letter' to kim jong-un,0
masturbating mom can't get bobby flay southwestern eggs demo to stop buffering,1
2012 marvel handbook casually reveals peter parker uncircumcised,1
joe walsh executed to keep 'eagles greatest hits' sales ahead of 'thriller',1
big ben set 15 minutes ahead to give london a little extra time in the morning,1
mother still searching for preschool that focuses exclusively on her son,1
"cultivating the 4 c's of mindfulness for greater peace, poise and personal power",0
navy frogmen recover clinton's head,1
"dear dads, thank you for who you are",0
clinton's sight restored,1
refrigerator wins american appliance,1
consumer reports rates self 'excellent',1
what it takes for a poor black kid from chicago to earn a college degree,0
seattle mayor's accuser in sex-abuse lawsuit comes forward,0
paul gauguin at fondation beyeler (video),0
trans texans share emotional responses on rejection of lgbt discrimination measure,0
depressed wolf blitzer locks self in situation room,1
sheldon adelson looks to harry reid for a big favor,0
between addict and recovery: look how far you've come,0
white house designer michael smith talks obamas and industry secrets,0
26-year-old feeling self-conscious after seeing all his friends fail slightly less than him,1
state department releases more clinton emails,0
"half of nation outraged at new, not-yet-released michael moore film",1
sources: you don't want to know what currently happening to saudi arabian woman,1
hillary clinton clearly tailoring debate answers to unclaimed new york superdelegate,1
dvd player in tesla raises questions in autopilot death,0
'ghost plane' wreckage believed to have sunk off jamaica,0
here's a complete rundown of what happened at the second presidential debate,0
police make arrest in socal lemonade stand heist,0
watch lil wayne & drake perform new single during tour opener,0
new york prepares for protests as grand jury reviews eric garner's death,0
teamwork mostly karen,1
gourmet gifts for the foodie 2014,0
pissed off from a lack of sleep? you might be 'slangry',0
carrie fisher's birth announcement in 1992 captured her signature humor,0
charlize theron welcomes second child,0
catapults v. curtains -- girl books and boy books,0
mega monster cookie bars you'll want to stuff in yo' face,0
nasa discovers distant planet located outside funding capabilities,1
my mom's favorite color,0
trump unveils exclusive double platinumâ€“level press room for only select few journalists,1
joe biden urges people to watch how their senators vote on gun bills,0
rand's filibuster two-fer,0
burden of parental expectation available in youth sizes,1
trans in trumpland: election victories signal hope,0
romney stares uncomprehendingly at $1 bill,1
sean spicer uses san bernardino shooting to justify banning 220 million people,0
jeb bush's children vehemently deny having ever loved father,1
americans bravely go to polls despite threat of electing congress,1
there have been more mass shootings this year than there have been days,0
man just going to assume apartment has functional carbon monoxide detector somewhere,1
another opportunity,0
msnbc head pledges to boost diversity after cinco de mayo disaster,0
stripper not in phone book,1
how the deportation crackdown is hurting immigrant victims of crime,0
report: causes of death getting less cool over time,1
rescued baby bird wearing out welcome,1
snowman sucks,1
here is how phil jackson and the knicks can win free agency,0
in five days,0
adrift in love for two nations,0
aides wrestle drill from trump's hands as he tries to remove obama listening device from skull,1
style replaces substance,1
"kim kardashian is back on the town, and her look is... interesting",0
ghost of alvah roebuck enjoying the hell out of sears' decline,1
4 ways the drug war harms national security,0
yalie strikes harvard lad sharply about the face and neck,1
department of housing and urban development issues report just to keep name out there,1
democratic congressman protests trump's environmental policies by bringing endangered red wolf to state of the union as guest,1
trump selects longtime personal plane to head faa,1
majority of americans want congress to move on from health care reform,0
steve wynn steps down as rnc finance chair amid sexual harassment allegations,0
this unreleased britney spears song is all kinds of sultry,0
atari releases updated adventure video game,1
comey bolsters case for obstruction of justice by trump,0
historic senator robert byrd imploded in controlled demolition,1
band loudly discusses record deal at ihop,1
delta pilot refuses to land until gun control legislation passed,1
area man crawling on ground like pig to plug macbook power cord behind desk,1
beauty industry to consumers: 'you like short hair now',1
trump orders strikes on syria in retaliation for chemical attack,0
eco-conscious marketing firm developing alternative sources of synergy,1
report finds populace has collective goodwill to come together for only 5 more national tragedies,1
new york's attorney general wants to keep birth control free,0
the lawsuit against black lives matter and the central meaning of the first amendment,0
"3 miami dolphins players kneel during anthem, reversing team policy",0
guy eats own weight in combos over three-month period,1
paul ryan quickly runs tweet about texas shooting past wayne lapierre before posting,1
the transformation of justin bieber from a white youth to a black man,0
infuriating video shows meek mill making homeless man do pushups for $20,0
fat guy mistakenly thought of as strong,1
8 holiday beauty hacks every woman should know,0
doctors restore ken burns' full-color vision after removing massive tumor from filmmaker's visual cortex,1
make-a-reasonable-request foundation provides sick child with decent seats to minnesota timberwolves game,1
mexico city stages james bond-inspired day of the dead parade,0
non-dominant hand completely botches nail clipping job,1
memories of sand and sea: gush katif residents mark 10 years to disengagement,0
endangered wildlife to be given new identities in species protection program,1
"how to get that $1,000 embroidered dress you've been seeing for under $100",0
heroic turtle dials most of 911,1
"company to use internet to waste money, employees' time",1
anthropomorphologists find earliest known evidence of banana walking upright,1
prison warden appears on leno with some of his favorite prisoners,1
this octogenarian took in dozens of abandoned dogs and built them a mini-train,0
mitch mcconnell pledges to avoid debt ceiling disaster,0
how fico's new credit score will impact consumers,0
conservatives lash out at 'republican welfare' as opposition to 'ryancare' grows,0
women: why don't they lose some weight?,1
"media figures tout trump's 'presidential' shift, but his divisive policies remain the same",0
incredible new slate of documentaries to elevate everyday lgbt heroes,0
"bengal tigers' habitat down to studio apartment in jaipur, india",1
is it just me or have kids become extra suave recently?,0
chris christie's political confidant and new jersey pension overseer resigns,0
4 ways to make cooking at home doable -- and more fun,0
the innocent victims of europe's refugee crisis,0
headline about so-called lobsterman extremely misleading,1
usa today crossword puzzle grants false sense of intelligence,1
fan prefers tarantino's early work when he was shelving movies all day at video store,1
good night's sleep changes nothing,1
new study determines the best way to discipline your teen,0
howie long expresses desire to direct radio shack spots,1
lester holt fills in for brian williams during family's nightly dinner,1
"dear non-parents, please stop giving parenting advice",0
south african prison rape survivors speak out for the first time,0
beijing air solidifies,1
everything you need to know about filipino breakfasts,0
pudgy doughboy with rosy red cheeks presses nose up against window of chocolate shop,1
"for-profit company threatened to jail people for not paying traffic fines, lawsuit says",0
report: jessica milly has put out,1
polar bear cub just knows he's going to be last of species,1
california city elects dead man to office after bizarre campaign,0
passion with which child demanding balloon actually kind of inspiring,1
network executive cancels show after ruining it in development,1
rescuers heroically help beached garbage back into ocean,1
meet the gop congressman who wants to overturn citizens united,0
trump announces paris climate deal rejection in front of 16 running faucets,1
study: majority of humans happiest when rest of family still asleep,1
want to prevent lone wolf terrorism? promote a 'sense of belonging' among immigrants,0
study: 86 percent of world's soccer stadiums double as places of mass execution,1
levi's factory implicated in cruel treatment of denim cows,1
thriving 'onion' puts another print edition out of business,1
nearly 1 in 10 children not enrolled in school: un,0
syria fighting mostly stops as truce takes effect,0
beyoncÃ© met the final five and all of our dreams came true,0
why we're lucky if we get to be old,0
area 93-year-old has death-after-life experience,1
watch this cat lose its mind after faced with an optical illusion,0
quentin tarantino calls uma thurman car crash 'biggest regret of my life',0
'the president show' sends 'trump' to boot camp with transgender soldiers,0
illinois' wall of fame: the state's best designations,0
drink me now: tomatoes,0
nasa says presence of diving board on mars confirms planet may have once contained water,1
where is offense?,0
dad and toddler 'compete' over mother's day responsibilities,0
brazilian 'surfer angel' considered for sainthood,0
"wiz khalifa, fetty wap and omi had the internet's most-streamed songs of the summer",0
berserk hairdresser cuts bangs without permission,1
8 things we wish our mothers had told us about aging,0
"when a man's wheelchair got stuck in a storm, this cop did something great",0
"trump defends gina haspel, his nominee for cia director, and her record of torture",0
gina rodriguez is bringing a show about an undocumented family to tv,0
flight attendant quietly informs first class passengers where real emergency exits are,1
unsold google glass units to be donated to assholes in africa,1
you can now message the president on facebook,0
area dad just wants to watch one 7-hour block of television without interruption,1
powerball ticket sold with all winning numbers in $421 million jackpot,0
"reforming college debt, part i: the problem",0
republicans set to lose senate control,0
fda cancels bacon recall after finding u.s. population already ate it all,1
texas executes 393rd guilty prisoner,1
david koch delivers suit with note reading 'wear this tonight' to marco rubio's hotel room,1
jeb bush bungles several questions on first day back at home,1
cinzano poster brings touch of class to shithole,1
larry king's frothing saliva hosed off bette midler,1
pride in mental health: an interview with the trevor project and crisis text line,0
iowa supreme court strikes down telemedicine abortion ban,0
chicago city council approves $13 minimum wage,0
icy snowball can already tell it going to make 9-year-old cry,1
street harasser haunted by woman who got away with dignity intact,1
bath & body works now offering free lotion tastings,1
"'the world cannot wait â€” and neither will we,' 61 mayors pledge",0
7 poses to help you keep your new year's intentions,0
toddler's walker gets a galactic makeover from all-star tattoo artist,0
why the notion of a 'ferguson effect' on policing is so problematic,0
saudi executioner thinks he pulled something in shoulder during last 10 decapitations,1
orlando foundation releases preview art of interim pulse memorial,0
what gets lost when a real murder becomes an entertainment craze,0
watch gigi hadid walk the runway in just one shoe,0
why i took my baby to #millionsmarchsf,0
banksy exhibit inspires ex-drug addict to change his own life through art,0
australian asylum seekers told to choose life in jail or risk death in home countries,0
newborn constantly terrorized by horrifying shapeless blobs,1
66-year-old 'washington post' reporter hopes he liveblogged state of the union right,1
"history doomed to repeat itself, reports man who just dropped food on pants",1
astronomers discover extremely graphic galaxy,1
report: half of all americans probably should have thought of that before they opened their mouth,1
lawyers opposing health care law cite kids-with-pre-existing-conditions-can-go-fuck-themselves clause,1
clinton tests positive for presidency-enhancing drugs,1
hostage with family really lording it over everyone else,1
the onion apologizes,1
british royal family concerned after queen elizabeth ii beheads 7 tourists,1
this inspiring fitness model lives without a working heart,0
native american students sue the u.s. government over dismal education,0
toby keith struggling to come up with rhyme for ahmadinejad,1
5 foolproof muffins to kick off baking season,0
the united states and britain must claim part-ownership of yemeni strife,0
knight news challenge gives $3.2m to 22 ideas to inform the public and increase voting,0
police seek poorly drawn man,1
rex tillerson blindsided by news he still worked for state department,1
"and now, the first picture from the 'gilmore girls' revival",0
is paul ryan helping to support the white supremacist movement?,0
alex jones calls a press conference to tell reporters they suck,0
merkel: isis poses major risk to europe,0
"there should never be all-male panels, ubs exec says",0
the unbelievably easy 2014 midterm election voters guide -- money in politics,0
crowd at trump rally realizes they've been chanting 'we are frightened and helpless' for last half hour,1
breakthrough drug eliminates crying in infants,1
'game of thrones' fans shocked after some little goblin or something killed off in last night's episode,1
"in his new act, tommy tune vows to be a 'vitamin for the spirit'",0
report: only 3% of conversations actually need to happen,1
"study: 89% of husbands planning to surprise wife on valentine's day by dressing as naked, chubby cherub",1
lot of bold talk about making broth going around apartment,1
lawyers confirm trump willing to answer all of sean hannity's questions about russia collusion,1
how your morning and nighttime routines affect your health,0
poll finds only 83% of new yorkers visit statue of liberty every day,1
man knows he must ride unexpected urge to clean as far as it will take him,1
guy wearing thumb drive around neck wonders if you tried hard reboot,1
"millennium actually starts in 2001, terrorists note",1
u2 takes aim at donald trump and white supremacists in biting new music video,0
two new documentaries outline the legacies of steven spielberg and alfred hitchcock,0
the one thing you need for positive change,0
"romney during victory speech: 'man, this is a weak field'",1
"secret service's prostitution scandal did not affect president's security, white house adviser madame chartreuse says",1
"'little book of big ideas' is smaller than a safety pin, wiser than you",0
aide interrupts event to inform bush about 10th anniversary of 9/11,1
housing prices spike as tech employee takes stroll through neighborhood,1
gold bracelet picked up at pharmacy,1
heat rises for fbi director james comey as both campaigns demand email answers,0
dejected dog too sad to walk after being returned to shelter,0
the way to san jose - things to do,0
great conversations: robert evans,0
rc car works up courage to approach group of girls,1
firenze fireworks: easter explosions in florence,0
wealthy father nervously waits for response after sending donations to son's top college choices,1
'black panther' passes the $500-million mark at the box office,0
tormund and the hound singing could melt the night king's icy heart,0
facebook reportedly working on healthcare features and apps,0
half of hollywood test group screened placebo film,1
death results in great deal of paperwork,1
man running aimlessly with olympic torch for past 3 years,1
"this fall's can't-miss, most noteworthy memoirs",0
donovan mitchell uses footwear to send powerful message about gun violence,0
'wonder woman' shatters box office with biggest female director opening. ever.,0
cnn releases photos of 3 obese mexican women suspected in boston bombing,1
managing the madness in the middle east,0
"creator of 'weed shop the musical' talks cannabis, queerness and theater",0
business solutions can make trade more inclusive,0
jay-z's grandfather busted with trunk full of canadian prescription drugs,1
serena williams: 'doctors aren't listening' so black women are dying,0
"republicans, north korea considering nuclear option",0
dolphins chatter more when solving tricky tasks,0
archivists discover unpublished michael crichton manuscript about amusement park that operates without a hitch,1
is this the boat of the future?,0
professor pressured to sleep with student for good course evaluation,1
area woman worried she's forgetting what heath ledger looked like,1
how every new year's eve ends up being awful,0
most americans think donald trump shouldn't have to sell his companies to be president,0
wake up call to the honduran diaspora,0
mitt romney reaches out to young voters with laser tag pizza party,1
hundreds gather to support kim davis: 'she won't bow',0
black friday 2015: the best deals around the web,0
liquor commercial featuring dance party on pirate ship also includes important message about responsibility,1
satan to revise bar code system,1
beyoncÃ© will reportedly join coldplay for the super bowl 50 halftime show,0
law schools now require applicants to honestly state whether they want to go to law school,1
whales beach selves in attempt to purchase 'the onion book of known knowledge',1
14-word diet stretched to 200 pages,1
daddy issues worked out on dance floor,1
man reserving judgment on best actress nominees until looking at all 5 pictures,1
trump executive order helps cement guantanamo's status as a forever prison,0
donald trump thinks he's doing well with women voters,0
"after dark: meet kenny kenny, visual poet and nightlife icon",0
these photos will make you book your next trip to india,0
moron stepfather takes care of child who doesn't have his genetic material,1
production of 'iceman cometh' canceled due to entire cast getting called back for axe body spray commercial,1
very specific food pyramid recommends two to three shrimp scampis per year,1
hurricane harvey is just the latest in facebook's fake news problem,0
weird new cereal sets tone for first weekend at divorced dad's,1
federal judge in detroit orders temporary ban on trump immigration restrictions,0
'girls' producers lena dunham and jenni konner have a new show in the works,0
still no drinking water in ohio's 4th largest city,0
scientific research just won a huge victory in the age of trump. here's how.,0
everyone in family compliments grandmother on how small and feeble she's gotten,1
"georgia adds swastika, middle finger to state flag",1
cern researchers apologize for destruction of 5 parallel universes in recent experiment,1
a member of the far-right proud boys menaced a twitter user on his doorstep,0
success and still enjoying your 'happy place',0
"the 'rain room' is coming to los angeles, not to be confused with actual rain",0
'hoodie monks' use hip hop to impart buddhist wisdom,0
can you spot what's wrong with the memphis grizzlies' valentine's day graphic?,0
black father gives son the talk about holding literally any object,1
new desk chair a boring dream come true,1
panasonic introduces portable 500-disc changer to compete against ipod,1
mom declares garage her next big project,1
corporation surprised to see its tax money circle back around to it so soon,1
governor too embarrassed to say which state he leads,1
obama to create 17 new jobs by resigning and finally opening that restaurant,1
area man has sex with man to get out of office blood drive,1
bashar al-assad shares laugh with military leaders over time he once wanted to be a doctor and help people,1
keebler expands line of residence-themed crackers,1
chevron touts green initiative with hybrid-powered oil drilling platforms,1
pregnant cancer patients shouldn't terminate or delay treatment,0
executioner enters lethal injection room with bag from home depot,1
child therapist excited to actually be seeing patient with psychological issues,1
"town still can't think of name for largest, most used street",1
cnn chief jeff zucker defends hiring ex-trump campaign manager corey lewandowski,0
letter threatens alabama media group over coverage of roy moore accusations,0
trying to explain heroin to the concerned father of an addict,0
5 family movies still worth streaming on netflix this holiday,0
shaken attorney general resigns after learning what murder is,1
king of queens creator thinks everyone's ripping him off,1
political cartoonist's wife finds disturbing nude drawings of uncle sam,1
china disputes trump's claims of fentanyl 'flood' into united states,0
two hipsters angrily call each other 'hipster',1
weakling president asks imaginary man in sky to bless nation,1
advisors hopeful jeb bush finally has momentum to end campaign,1
donald trump leads by 20 points. here's why he could still lose.,0
nation's attractive people demand we send them all $200 checks,1
seeing eye dog really blows off some steam in dog park,1
missing comet lander 'philae' finally located after long search,0
